Company Name,Industry,Symbol,logo
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540678.png
Coforge Ltd.,Information Technology,COFORGE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532541.png
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500830.png
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543232.png
Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543960.png
Container Corporation of India Ltd.,Services,CONCOR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531344.png
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506395.png
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543276.png
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541770.png
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539876.png
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500480.png
Cyient Ltd.,Information Technology,CYIENT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532175.png
DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK523367.png
DLF Ltd.,Realty,DLF.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532868.png
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500096.png
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542216.png
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543428.png
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500645.png
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506401.png
Delhivery Ltd.,Services,DELHIVERY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543529.png
Delta Corp Ltd.,Consumer Services,DELTACORP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532848.png
Devyani International Ltd.,Consumer Services,DEVYANI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543330.png
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532488.png
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540699.png
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539524.png
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500124.png
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500125.png
EIH Ltd.,Consumer Services,EIHOTEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500840.png
EPL Ltd.,Capital Goods,EPL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500135.png
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543272.png
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK505200.png
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK522074.png
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531162.png
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540153.png
Engineers India Ltd.,Construction,ENGINERSIN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532178.png
Epigral Ltd.,Chemicals,EPIGRAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543332.png
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543243.png
Eris Lifesciences Ltd.,Healthcare,ERIS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540596.png
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500495.png
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500086.png
FDC Ltd.,Healthcare,FDC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531599.png
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543384.png
Federal Bank Ltd.,Financial Services,FEDERALBNK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500469.png
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK590024.png
Fine Organic Industries Ltd.,Chemicals,FINEORG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541557.png
Finolex Cables Ltd.,Capital Goods,FINCABLES.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500144.png
Finolex Industries Ltd.,Capital Goods,FINPIPE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500940.png
Firstsource Solutions Ltd.,Services,FSL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532809.png
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543663.png
Fortis Healthcare Ltd.,Healthcare,FORTIS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532843.png
G R Infraprojects Ltd.,Construction,GRINFRA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532940.png
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532155.png
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK505255.png
GMR Airports Infrastructure Ltd.,Services,GMRINFRA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532754.png
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540935.png
General Insurance Corporation of India,Financial Services,GICRE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540755.png
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK507815.png
Gland Pharma Ltd.,Healthcare,GLAND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543245.png
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500660.png
Glenmark Life Sciences Ltd.,Healthcare,GLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543322.png
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532296.png
Global Health Ltd.,Healthcare,MEDANTA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543654.png
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543401.png
Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532734.png
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500163.png
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532424.png
Godrej Industries Ltd.,Diversified,GODREJIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500164.png
Godrej Properties Ltd.,Realty,GODREJPROP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533150.png
Granules India Ltd.,Healthcare,GRANULES.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532482.png
Graphite India Ltd.,Capital Goods,GRAPHITE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK509488.png
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500300.png
Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500620.png
Grindwell Norton Ltd.,Capital Goods,GRINDWELL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506076.png
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK530001.png
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK524226.png
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542812.png
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539336.png
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500670.png
Gujarat Pipavav Port Ltd.,Services,GPPL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533248.png
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500690.png
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532702.png
H.E.G. Ltd.,Capital Goods,HEG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540005.png
HCL Technologies Ltd.,Information Technology,HCLTECH.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532281.png
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541729.png
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500180.png
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540777.png
HFCL Ltd.,Telecommunication,HFCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500183.png
HLE Glascoat Ltd.,Capital Goods,HLEGLAS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK522215.png
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543227.png
Havells India Ltd.,Consumer Durables,HAVELLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK517354.png
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500182.png
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500440.png
Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541154.png
