Company Name,Industry,Symbol,logo,FNO
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541143.png,False
Bharat Electronics Ltd.,Capital Goods,BEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500049.png,True
Bharat Forge Ltd.,Capital Goods,BHARATFORG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500493.png,True
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500103.png,True
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500547.png,True
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532454.png,True
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543653.png,False
Biocon Ltd.,Healthcare,BIOCON.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532523.png,True
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500335.png,False
Birlasoft Ltd.,Information Technology,BSOFT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532400.png,True
Blue Dart Express Ltd.,Services,BLUEDART.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK526612.png,False
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500067.png,False
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK501425.png,False
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK502219.png,False
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500530.png,True
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532929.png,False
Brightcom Group Ltd.,Information Technology,BCG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532368.png,False
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500825.png,True
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543425.png,False
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK519600.png,False
CESC Ltd.,Power,CESC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500084.png,False
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500093.png,False
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532756.png,False
CRISIL Ltd.,Financial Services,CRISIL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500092.png,False
CSB Bank Ltd.,Financial Services,CSBBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542867.png,False
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543523.png,False
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK511196.png,True
Canara Bank,Financial Services,CANBK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532483.png,True
Capri Global Capital Ltd.,Financial Services,CGCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531595.png,False
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK513375.png,False
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500870.png,False
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500878.png,False
Central Bank of India,Financial Services,CENTRALBK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532885.png,False
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK201232.png,False
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532548.png,False
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500040.png,False
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532443.png,False
Chalet Hotels Ltd.,Consumer Services,CHALET.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542399.png,False
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500085.png,True
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543336.png,False
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK504973.png,False
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK511243.png,True
Cipla Ltd.,Healthcare,CIPLA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500087.png,True
City Union Bank Ltd.,Financial Services,CUB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532210.png,True
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543318.png,False
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533278.png,True
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540678.png,False
Coforge Ltd.,Information Technology,COFORGE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532541.png,True
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500830.png,True
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543232.png,False
Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543960.png,False
Container Corporation of India Ltd.,Services,CONCOR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531344.png,True
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506395.png,True
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543276.png,False
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541770.png,False
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539876.png,True
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500480.png,True
Cyient Ltd.,Information Technology,CYIENT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532175.png,False
DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK523367.png,False
DLF Ltd.,Realty,DLF.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532868.png,True
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500096.png,True
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK542216.png,True
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543428.png,False
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500645.png,False
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK506401.png,True
Delhivery Ltd.,Services,DELHIVERY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543529.png,False
Delta Corp Ltd.,Consumer Services,DELTACORP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532848.png,True
Devyani International Ltd.,Consumer Services,DEVYANI.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543330.png,False
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532488.png,True
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540699.png,True
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539524.png,True
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500124.png,True
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500125.png,False
EIH Ltd.,Consumer Services,EIHOTEL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500840.png,False
EPL Ltd.,Capital Goods,EPL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500135.png,False
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543272.png,False
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK505200.png,True
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK522074.png,False
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK531162.png,False
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540153.png,False
Engineers India Ltd.,Construction,ENGINERSIN.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532178.png,False
Epigral Ltd.,Chemicals,EPIGRAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543332.png,False
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543243.png,False
Eris Lifesciences Ltd.,Healthcare,ERIS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540596.png,False
